FirstTerm,leftoverprob
of,0.22377473683097815
in,0.15551234338171915
i,0.04270655579168059
for,0.17499306668809367
to,0.11733451624413349
on,0.17757556060590507
at,0.22947893126206376
and,0.24323462579743582
if,0.07489318832631586
it,0.108072261657292
is,0.16208100968937422
with,0.24238357995083804
have,0.1486567230760074
but,0.13415467899172628
that,0.17560584999081297
will,0.15667258048776866
going,0.09648224037053865
you,0.09773172444509848
want,0.08834230248743213
from,0.28449196040207503
one,0.19305204325119518
this,0.21324109992803286
thanks,0.1646641319483898
when,0.11595205569870248
as,0.18583370009102096
was,0.21090283810531385
out,0.1383917888519065
all,0.19783267671266647
thank,0.04590424110733615
a,0.2054705235975467
we,0.10532294852764756
the,0.19969025987578504
be,0.24159856439376404
need,0.12254894742432498
so,0.16317606051219458
by,0.35942433045126754
they,0.14827485302360488
had,0.21431945974667355
are,0.22337159018753683
do,0.11974966296530942
about,0.22574597492034942
would,0.1687276464648656
there,0.12145667525378834
like,0.22219922991257868
what,0.12547965329433663
trying,0.09736634131319011
into,0.2717778745058287
has,0.22894507561177424
he,0.2013984429252753
go,0.21829415119751394
time,0.2061708547736858
over,0.23640649202333053
more,0.3645582089956333
way,0.1462835409250769
can,0.15431772003261524
part,0.15386606624354915
lot,0.14896210373652496
right,0.18785649836032536
ve,0.15785406639402322
ll,0.18070924213105188
able,0.01524689962470771
me,0.16500337414710664
some,0.3854027722771838
up,0.17924850503453438
back,0.20177694708821126
love,0.1841694774025905
kind,0.08711842569441819
m,0.18859539452869611
should,0.21834603279661835
get,0.15943342975423225
last,0.2008254351575658
how,0.14621215764208184
forward,0.11227075659297558
because,0.10126603557425862
see,0.17177892263606576
wanted,0.15316770632232846
not,0.2368296428672899
know,0.09982059655097841
hope,0.11433386057947303
my,0.25815903873187274
don,0.14321473317859856
through,0.28288395602758964
such,0.204441319077028
which,0.24031778816376803
now,0.27161768664271924
make,0.1537870503866764
think,0.15028805499224207
let,0.14905701342700162
did,0.19723329865660533
end,0.19218699261424077
looking,0.13297364170186454
most,0.40396317992485076
lots,0.054694979679847155
people,0.2503973995956249
used,0.23153328511466797
look,0.18878369091574598
take,0.1729280136743302
try,0.22252048029846527
check,0.144804847645021
follow,0.19751254214144376
could,0.24305651682633023
off,0.24717649952649312
she,0.24987610873931343
wait,0.15742980050528577
couple,0.18598980914720664
just,0.22572237499825565
may,0.2776961654870024
went,0.1616698697391752
no,0.3434285754571733
those,0.42121961919016293
feel,0.24508218571796248
come,0.1484074279450368
ready,0.10409294735886676
looks,0.2649533629783326
decided,0.1262587968239247
according,0.007779030420769217
around,0.26229400114913004
away,0.2609702936045615
then,0.3442604415285274
got,0.25122076970006657
too,0.290916307146892
wish,0.12096591643116694
been,0.36512788378192906
hard,0.23658996878863536
well,0.2545285991639261
must,0.32078561599361044
first,0.3744741884493602
seem,0.14651159837660777
happy,0.2572163614412596
talking,0.18213163087629214
after,0.26513404046798084
listening,0.10890642589076893
who,0.23612598288128128
their,0.5146882734616234
am,0.3031443444171621
where,0.16597203112784487
since,0.21712202138297476
talk,0.2282847537809004
new,0.4150954808158528
down,0.24137818671640876
might,0.2600325872731998
during,0.19003148437745343
why,0.1762084335793782
say,0.21678859148837648
better,0.3400188590229216
each,0.34324969408744765
life,0.2705432580271012
instead,0.17658592023614716
full,0.3551353920489988
makes,0.18805290107897843
us,0.26415993157818407
supposed,0.03764666574001885
even,0.290027639987293
or,0.3773543291985917
than,0.2994354097975701
does,0.2554993512896575
rt,0.363703107783641
good,0.26055371950590656
listen,0.14489826959269336
having,0.298469793683671
excited,0.11476552095119485
them,0.21957982090502803
yes,0.2425023953127552
rest,0.21739971825648186
year,0.2835597802971558
wants,0.19351076487886
bit,0.3427857855949047
due,0.12329405514690894
y,0.2433034358234465
high,0.3571474657867474
fact,0.22983412879692833
number,0.27363904058831934
day,0.26281023183294894
before,0.2601086747480632
enough,0.2889336915073244
tell,0.1595197260665151
being,0.398549175343629
while,0.2729014699255756
years,0.2223191950891067
today,0.32427836350894257
seems,0.23862413936056603
re,0.28405053676649983
next,0.24338807603810564
gonna,0.24335082309215927
miss,0.27608441213024826
lol,0.33457718381768964
working,0.2334078385595515
under,0.33438917972851445
across,0.22787000629681542
place,0.25991739381289003
many,0.3826246860470982
every,0.32121649959150966
your,0.3529906148574864
needs,0.26701754817003853
interested,0.1323770439664439
coming,0.19053577473327843
find,0.198018420744018
made,0.19972006120887387
long,0.3090123012494208
yeah,0.33488636245486736
any,0.4305636855124658
waiting,0.13871204233214884
watching,0.4140869717735415
sort,0.14831121991286222
along,0.19959680175488403
thinking,0.23522415046910372
him,0.26205804041144176
amount,0.12516111632222693
side,0.3769569401144819
close,0.2898982900296405
something,0.22640887203002946
here,0.20306994038231063
sounds,0.2563746607970212
d,0.3327236963964534
things,0.21235308611816195
less,0.4861305325076156
list,0.3433018609121976
much,0.2689944670918464
rather,0.3614860446033169
social,0.364811094652137
glad,0.1039140441344567
ability,0.0668723667750335
her,0.38957947121672476
type,0.2747922844594549
shout,0.1454094851041685
thing,0.2082183847688116
home,0.30870837698120135
against,0.3805493924459472
use,0.2825645286129783
said,0.26888696229681774
nice,0.42996356308580863
only,0.3525055408594888
making,0.33942043651138043
watch,0.33961746730569653
tonight,0.3860691341179213
give,0.15701914441802978
comes,0.17482585302513265
needed,0.3220855008734721
chance,0.1907345417144083
told,0.2064421565283393
someone,0.3375787371117348
sure,0.17040645333967042
front,0.27471247851804914
top,0.43135219439264993
live,0.3270404610170876
tried,0.32187903527141937
though,0.26874629249462956
believe,0.2047398595809088
week,0.3149791945721522
an,0.3468753731195394
based,0.32334623755570446
didn,0.24832711104029825
between,0.4550706101213913
thought,0.1870568029207711
piece,0.30532204606665614
starting,0.2870480831699851
proud,0.1479508138448491
little,0.5002785197212437
great,0.38856191083694014
put,0.1732399718863462
our,0.44200989396658896
haha,0.35003089284516287
other,0.4600235580196935
wake,0.15544888677275648
man,0.3805830256562216
came,0.15018189813233707
middle,0.1693514519303384
guess,0.20809548048962245
his,0.4420132495527379
call,0.2523421162461392
until,0.26454905462414224
care,0.2951672342248619
figure,0.21277623773529675
work,0.2409921547157059
welcome,0.3567733211350298
quite,0.46517416338072537
ice,0.2893515628729194
keep,0.23821322457484917
read,0.26191863685813666
stay,0.24755268874070813
sometimes,0.34405765729950855
took,0.27111186922699604
pretty,0.3691168158907763
deal,0.36727088632281024
